ID,Type
g__Prevotella;s__Prevotella sp. 109,Microbe
g__Clostridium;s__Clostridium sp. M62_1,Microbe
g__Prevotella;s__Prevotella sp. CAG:5226,Microbe
g__Bacteroides;s__Bacteroides clarus,Microbe
g__Prevotella;s__Prevotella sp. CAG:255,Microbe
g__Alistipes;s__Alistipes senegalensis,Microbe
g__Prevotella;s__Prevotella sp. CAG:520,Microbe
g__Butyricimonas;s__Butyricimonas synergistica,Microbe
g__Paraprevotella;s__Paraprevotella clara CAG:116,Microbe
g__Clostridium;s__Clostridium sp. SN17,Microbe
g__Blautia;s__Blautia wexlerae,Microbe
g__Alistipes;s__Alistipes sp. CAG:53,Microbe
g__Anaerostipes;s__Anaerostipes hadrus,Microbe
g__Clostridium;s__Clostridium sp. CAG:594,Microbe
g__Eisenbergiella;s__Eisenbergiella tayi,Microbe
g__Lachnospira;s__Lachnospira pectinoschiza,Microbe
g__Blautia;s__uncultured Blautia sp.,Microbe
g__Bilophila;s__Bilophila sp. 4_1_30,Microbe
g__Blautia;s__Blautia sp. CAG:237,Microbe
g__Mitsuokella;s__Mitsuokella multacida,Microbe
g__Lachnoclostridium;s__[Clostridium] clostridioforme,Microbe
g__Bacteroides;s__Bacteroides eggerthii,Microbe
g__Barnesiella;s__Barnesiella intestinihominis,Microbe
g__Prevotella;s__Prevotella multisaccharivorax,Microbe
g__Lachnoclostridium;s__[Clostridium] lavalense,Microbe
g__Eubacterium;s__Eubacterium sp. CAG:161,Microbe
g__Clostridium;s__Clostridium sp. CAG:122,Microbe
g__Ruthenibacterium;s__Ruthenibacterium lactatiformans,Microbe
g__Paraprevotella;s__Paraprevotella clara,Microbe
g__Alistipes;s__Alistipes sp. CAG:157,Microbe
g__Bacteroides;s__Bacteroides sp. D2,Microbe
g__Alistipes;s__Alistipes inops,Microbe
g__Bacteroides;s__Bacteroides coprocola CAG:162,Microbe
g__Bacteroides;s__Bacteroides acidifaciens,Microbe
g__Alistipes;s__Alistipes sp. HGB5,Microbe
g__Bifidobacterium;s__Bifidobacterium longum,Microbe
g__Eubacterium;s__Eubacterium sp. CAG:251,Microbe
g__Candidatus Stoquefichus;s__Candidatus Stoquefichus sp. KLE1796,Microbe
g__Bacteroides;s__Bacteroides sp. CAG:927,Microbe
g__Bacteroides;s__Bacteroides sp. 3_1_13,Microbe
g__Bifidobacterium;s__Bifidobacterium pseudocatenulatum,Microbe
g__Bacteroides;s__Bacteroides sp. HMSC067B03,Microbe
g__Prevotella;s__Prevotella sp. CAG:386,Microbe
g__Parasutterella;s__Parasutterella excrementihominis,Microbe
g__Clostridium;s__Clostridium sp. CAG:465,Microbe
g__Alistipes;s__Alistipes obesi,Microbe
g__Lachnoclostridium;s__[Clostridium] symbiosum,Microbe
g__Clostridium;s__Clostridium sp. CAG:448,Microbe
g__Clostridium;s__Clostridium sp. CAG:678,Microbe
g__Prevotella;s__Prevotella sp. CAG:604,Microbe
g__Clostridium;s__Clostridium sp. L2-50,Microbe
g__Prevotella;s__Prevotella sp. CAG:732,Microbe
g__Oscillibacter;s__Oscillibacter sp. CAG:155,Microbe
g__Bacteroides;s__Bacteroides massiliensis,Microbe
g__Veillonella;s__Veillonella sp. oral taxon 158,Microbe
g__Prevotella;s__Prevotella sp. AGR2160,Microbe
g__Bifidobacterium;s__Bifidobacterium bifidum,Microbe
g__Holdemania;s__Holdemania filiformis,Microbe
g__Dialister;s__Dialister invisus CAG:218,Microbe
g__Bacteroides;s__Bacteroides sp. CAG:20,Microbe
g__Coprococcus;s__uncultured Coprococcus sp.,Microbe
g__Lachnospira;s__uncultured Lachnospira sp.,Microbe
g__Ruminococcus;s__Ruminococcus bromii,Microbe
g__Eubacterium;s__Eubacterium sp. CAG:76,Microbe
g__Alistipes;s__Alistipes putredinis CAG:67,Microbe
g__Roseburia;s__Roseburia sp. CAG:303,Microbe
g__Bacteroides;s__Candidatus Bacteroides timonensis,Microbe
g__Prevotella;s__Prevotella stercorea CAG:629,Microbe
g__Allisonella;s__Allisonella histaminiformans,Microbe
g__Bacteroides;s__Bacteroides nordii,Microbe
g__Clostridium;s__Clostridium sp. ATCC BAA-442,Microbe
g__Acidiphilium;s__Acidiphilium sp. CAG:727,Microbe
g__Subdoligranulum;s__Subdoligranulum sp. 4_3_54A2FAA,Microbe
g__Parabacteroides;s__Parabacteroides johnsonii,Microbe
g__Clostridium;s__Clostridium sp. CAG:91,Microbe
g__Haemophilus;s__Haemophilus parainfluenzae,Microbe
g__Butyricimonas;s__Butyricimonas sp. Marseille-P2440,Microbe
g__Azospirillum;s__Azospirillum sp. CAG:239,Microbe
g__Akkermansia;s__Akkermansia muciniphila,Microbe
g__Clostridium;s__Clostridium sp. CAG:567,Microbe
g__Prevotella;s__Prevotella sp. CAG:755,Microbe
g__Klebsiella;s__Klebsiella pneumoniae,Microbe
g__Clostridium;s__Clostridium hathewayi CAG:224,Microbe
g__Intestinimonas;s__Intestinimonas sp. GD2,Microbe
g__Bacteroides;s__Bacteroides pyogenes,Microbe
g__Chlamydia;s__Chlamydia trachomatis,Microbe
g__Lachnoclostridium;s__[Clostridium] saccharolyticum,Microbe
g__Clostridium;s__Clostridium sp. CAG:81,Microbe
g__Lachnoclostridium;s__[Clostridium] citroniae,Microbe
g__Roseburia;s__uncultured Roseburia sp.,Microbe
g__Ruminococcus;s__Ruminococcus sp. CAG:108,Microbe
g__Veillonella;s__Veillonella parvula,Microbe
g__Bacteroides;s__Bacteroides sp. Marseille-P3108,Microbe
g__Butyricicoccus;s__Butyricicoccus pullicaecorum,Microbe
g__Clostridium;s__Clostridium sp. CAG:264,Microbe
g__Anaerotruncus;s__Anaerotruncus sp. CAG:390,Microbe
g__Bacteroides;s__Bacteroides sp. HPS0048,Microbe
g__Clostridium;s__Clostridium sp. CAG:1013,Microbe
g__Oscillibacter;s__Oscillibacter valericigenes,Microbe
g__Bacteroides;s__Bacteroides cellulosilyticus CAG:158,Microbe
g__Clostridium;s__Clostridium sp. CAG:1024,Microbe
g__Parasutterella;s__Parasutterella excrementihominis CAG:233,Microbe
g__Oscillibacter;s__Oscillibacter ruminantium,Microbe
g__Pseudoflavonifractor;s__Pseudoflavonifractor capillosus,Microbe
g__Clostridioides;s__Clostridioides difficile,Microbe
g__Anaerotruncus;s__Anaerotruncus sp. CAG:528,Microbe
g__Fusobacterium;s__Fusobacterium ulcerans,Microbe
g__Eubacterium;s__Eubacterium desmolans,Microbe
g__Ruminococcus;s__Ruminococcus bicirculans,Microbe
g__Megamonas;s__Megamonas rupellensis,Microbe
g__Bacteroides;s__Bacteroides sp. 3_1_19,Microbe
g__Eubacterium;s__Eubacterium ramulus,Microbe
g__Parabacteroides;s__Parabacteroides sp. YL27,Microbe
g__Roseburia;s__Roseburia sp. CAG:45,Microbe
g__Mycoplasma;s__Mycoplasma sp. CAG:611,Microbe
g__Ruminococcus;s__Ruminococcus sp. CAG:563,Microbe
g__Candidatus Stoquefichus;s__Candidatus Stoquefichus sp. SB1,Microbe
g__Tyzzerella;s__Tyzzerella sp. Marseille-P3062,Microbe
g__Intestinibacter;s__Intestinibacter bartlettii,Microbe
g__Bacteroides;s__Bacteroides sp. CAG:443,Microbe
g__Megasphaera;s__Megasphaera elsdenii,Microbe
g__Ruminococcus;s__Ruminococcus faecis,Microbe
g__Clostridium;s__Clostridium sp. 1_1_41A1FAA,Microbe
g__Bacteroides;s__Bacteroides coprophilus CAG:333,Microbe
g__Candidatus Stoquefichus;s__Candidatus Stoquefichus massiliensis,Microbe
g__Bacteroides;s__Bacteroides stercoris CAG:120,Microbe
g__Pyramidobacter;s__Pyramidobacter piscolens,Microbe
g__Collinsella;s__Collinsella intestinalis,Microbe
g__Coprococcus;s__Coprococcus eutactus CAG:665,Microbe
g__Ruminococcus;s__Ruminococcus flavefaciens,Microbe
g__Parabacteroides;s__Parabacteroides sp. D26,Microbe
g__Ruminiclostridium;s__Ruminiclostridium sp. KB18,Microbe
g__Ruminococcus;s__Ruminococcus sp. JC304,Microbe
g__Bacteroides;s__Bacteroides stercorirosoris,Microbe
g__Veillonella;s__Veillonella sp. CAG:933,Microbe
g__Alistipes;s__Alistipes finegoldii CAG:68,Microbe
g__Clostridium;s__Clostridium sp. ASF356,Microbe
g__Parabacteroides;s__Parabacteroides merdae CAG:48,Microbe
g__Prevotella;s__Prevotella sp. CAG:617,Microbe
g__Clostridium;s__Clostridium sp. CAG:169,Microbe
g__Marvinbryantia;s__Marvinbryantia formatexigens,Microbe
g__Alistipes;s__Alistipes sp. Marseille-P2431,Microbe
g__Prevotella;s__Prevotella sp. CAG:891,Microbe
g__Alistipes;s__Alistipes sp. CHKCI003,Microbe
g__Eubacterium;s__Eubacterium eligens CAG:72,Microbe
g__Clostridium;s__Clostridium sp. CAG:505,Microbe
g__Prevotella;s__Prevotella sp. CAG:1185,Microbe
g__Roseburia;s__Roseburia sp. CAG:18,Microbe
g__Alistipes;s__Alistipes timonensis,Microbe
g__Ruminococcus;s__Ruminococcus albus,Microbe
g__Bacteroides;s__Bacteroides sp. CAG:1076,Microbe
g__Dorea;s__Dorea formicigenerans,Microbe
g__Clostridium;s__Clostridium sp. CAG:273,Microbe
g__Clostridium;s__Clostridium sp. CAG:413,Microbe
g__Akkermansia;s__Akkermansia muciniphila CAG:154,Microbe
g__Coprococcus;s__Coprococcus catus,Microbe
g__Alistipes;s__Alistipes onderdonkii,Microbe
g__Blautia;s__Blautia producta,Microbe
g__Bacteroides;s__Bacteroides sp. CAG:98,Microbe
g__Prevotella;s__Prevotella bryantii,Microbe
g__Holdemania;s__Holdemania massiliensis,Microbe
g__Bacteroides;s__Bacteroides gallinarum,Microbe
g__Clostridium;s__Clostridium sp. CAG:609,Microbe
g__Anaerotruncus;s__Anaerotruncus sp. MT15,Microbe
g__Bacteroides;s__Bacteroides salanitronis,Microbe
g__Bacteroides;s__Bacteroides sp. CAG:189,Microbe
g__Parabacteroides;s__Parabacteroides sp. HGS0025,Microbe
g__Alistipes;s__Alistipes sp. CAG:29,Microbe
g__Bacteroides;s__Bacteroides fluxus,Microbe
g__Bacteroides;s__Bacteroides sp. 2_2_4,Microbe
g__Bacteroides;s__Bacteroides sp. CAG:702,Microbe
g__Streptococcus;s__Streptococcus salivarius,Microbe
g__Veillonella;s__Veillonella dispar,Microbe
g__Ruminococcus;s__Ruminococcus sp. CAG:403,Microbe
g__Clostridium;s__Clostridium sp. CAG:149,Microbe
g__Parabacteroides;s__Parabacteroides sp. D13,Microbe
g__Roseburia;s__Roseburia intestinalis CAG:13,Microbe
g__Ruminococcus;s__Ruminococcus gnavus CAG:126,Microbe
g__Eubacterium;s__Eubacterium siraeum CAG:80,Microbe
g__Clostridium;s__Clostridium sp. CAG:780,Microbe
g__Desulfovibrio;s__Desulfovibrio desulfuricans,Microbe
g__Bacteroides;s__Bacteroides finegoldii CAG:203,Microbe
g__Parabacteroides;s__Parabacteroides gordonii,Microbe
g__Hydrogenoanaerobacterium;s__Hydrogenoanaerobacterium saccharovorans,Microbe
g__Bacteroides;s__Bacteroides caccae CAG:21,Microbe
g__Bacteroides;s__Bacteroides sp. 14(A),Microbe
g__Clostridium;s__Clostridium sp. 7_3_54FAA,Microbe
g__Alistipes;s__Alistipes sp. AL-1,Microbe
g__Clostridium;s__Clostridium sp. CAG:389,Microbe
g__Bacteroides;s__Bacteroides sp. D20,Microbe
g__Barnesiella;s__Barnesiella viscericola,Microbe
g__Blautia;s__Blautia sp. KLE 1732,Microbe
g__Acetivibrio;s__Acetivibrio ethanolgignens,Microbe
g__Blautia;s__Blautia schinkii,Microbe
g__Bacteroides;s__Bacteroides sp. 3_1_33FAA,Microbe
g__Clostridium;s__Clostridium nexile CAG:348,Microbe
g__Romboutsia;s__Romboutsia sp. DR1,Microbe
g__Anaerotruncus;s__Anaerotruncus sp. G3(2012),Microbe
g__Coraliomargarita;s__Coraliomargarita sp. CAG:312,Microbe
g__Bacteroides;s__Bacteroides sp. CAG:875,Microbe
g__Prevotella;s__Prevotella bergensis,Microbe
g__Eubacterium;s__Eubacterium plexicaudatum,Microbe
g__Eubacterium;s__Eubacterium sp. CAG:841,Microbe
g__Blautia;s__Blautia sp. CAG:37,Microbe
g__Prevotella;s__Prevotella sp. CAG:924,Microbe
g__Ruminococcus;s__Ruminococcus sp. CAG:330,Microbe
g__Ruminococcus;s__Ruminococcus sp. DSM 100440,Microbe
g__Bacteroides;s__Bacteroides sp. 3_1_23,Microbe
g__Bacteroides;s__Bacteroides uniformis CAG:3,Microbe
g__Lachnoclostridium;s__Lachnoclostridium phytofermentans,Microbe
g__Coprobacillus;s__Coprobacillus sp. 8_1_38FAA,Microbe
g__Prevotella;s__Prevotella dentasini,Microbe
g__Eubacterium;s__Eubacterium sp. SN18,Microbe
g__Megamonas;s__Megamonas sp. Calf98-2,Microbe
g__Roseburia;s__Roseburia sp. CAG:100,Microbe
g__Bacteroides;s__Bacteroides sp. CAG:530,Microbe
g__Eubacterium;s__Eubacterium rectale CAG:36,Microbe
g__Tannerella;s__Tannerella sp. 6_1_58FAA_CT1,Microbe
g__Bacteroides;s__Bacteroides sp. 1_1_30,Microbe
g__Bacteroides;s__Bacteroides sp. D22,Microbe
g__Clostridium;s__Clostridium sp. CAG:470,Microbe
g__Butyrivibrio;s__Butyrivibrio crossotus,Microbe
g__Roseburia;s__Roseburia sp. CAG:182,Microbe
g__Bacteroides;s__Bacteroides sp. 2_1_33B,Microbe
g__Ruminococcus;s__Ruminococcus sp. Marseille-P2976,Microbe
g__Megamonas;s__Megamonas hypermegale,Microbe
g__Desulfovibrio;s__Desulfovibrio legallii,Microbe
g__Prevotella;s__Prevotella sp. CAG:485,Microbe
g__Catenibacterium;s__Catenibacterium mitsuokai,Microbe
g__Clostridium;s__Clostridium sp. ATCC 29733,Microbe
g__Subdoligranulum;s__Subdoligranulum sp. CAG:314,Microbe
g__Bacteroides;s__Bacteroides sp. CAG:462,Microbe
g__Clostridium;s__Clostridium sp. CAG:354,Microbe
g__Bacteroides;s__Bacteroides caecimuris,Microbe
g__Bacteroides;s__Bacteroides sp. 1_1_14,Microbe
g__Bacteroides;s__Bacteroides sp. 4_1_36,Microbe
g__Lachnoanaerobaculum;s__Lachnoanaerobaculum saburreum,Microbe
g__Roseburia;s__Roseburia inulinivorans CAG:15,Microbe
g__Ruminococcus;s__Ruminococcus sp. CAG:724,Microbe
g__Bifidobacterium;s__Bifidobacterium breve,Microbe
g__Prevotella;s__Prevotella sp. CAG:474,Microbe
g__Clostridium;s__Clostridium sp. SCN 57-10,Microbe
g__Dehalobacter;s__Dehalobacter sp. FTH1,Microbe
g__Bacteroides;s__Bacteroides faecichinchillae,Microbe
g__Bacteroides;s__Bacteroides sp. 3_1_40A,Microbe
g__Clostridium;s__Clostridium botulinum,Microbe
g__Clostridium;s__Clostridium sp. CAG:230,Microbe
g__Eubacterium;s__[Eubacterium] hallii,Microbe
g__Dialister;s__Dialister pneumosintes,Microbe
g__Bacteroides;s__Bacteroides sartorii,Microbe
g__Tannerella;s__Tannerella sp. CAG:51,Microbe
g__Ruminococcus;s__Ruminococcus obeum CAG:39,Microbe
g__Collinsella;s__Collinsella sp. 4_8_47FAA,Microbe
g__Parabacteroides;s__Parabacteroides sp. CAG:2,Microbe
g__Prevotella;s__Prevotella ruminicola,Microbe
g__Prevotella;s__Prevotella sp. CAG:1124,Microbe
g__Eggerthella;s__Eggerthella sp. CAG:1427,Microbe
g__Bacteroides;s__Bacteroides intestinalis CAG:564,Microbe
g__Staphylococcus;s__Staphylococcus aureus,Microbe
g__Clostridium;s__Clostridium sp. CAG:356,Microbe
g__Anaerobium;s__Anaerobium acetethylicum,Microbe
g__Prevotella;s__Prevotella paludivivens,Microbe
g__Clostridium;s__Clostridium sp. CAG:571,Microbe
g__Dorea;s__Dorea sp. 5-2,Microbe
g__Lachnoclostridium;s__Lachnoclostridium sp. YL32,Microbe
g__Parvimonas;s__Parvimonas micra,Microbe
g__Bacteroides;s__Bacteroides barnesiae,Microbe
g__Sanguibacteroides;s__Sanguibacteroides justesenii,Microbe
g__Lachnoclostridium;s__[Desulfotomaculum] guttoideum,Microbe
g__Butyrivibrio;s__Butyrivibrio fibrisolvens,Microbe
g__Bacteroides;s__Bacteroides sp. 1_1_6,Microbe
g__Parabacteroides;s__Parabacteroides chinchillae,Microbe
g__Caldicoprobacter;s__Caldicoprobacter oshimai,Microbe
g__Clostridium;s__Clostridium sp. W14A,Microbe
g__Ruminiclostridium;s__[Clostridium] methylpentosum,Microbe
g__Ruminococcus;s__Ruminococcus sp. CAG:57,Microbe
g__Terrimicrobium;s__Terrimicrobium sacchariphilum,Microbe
g__Bacteroides;s__Bacteroides sp. 4_3_47FAA,Microbe
g__Youngiibacter;s__Youngiibacter fragilis,Microbe
g__Ruminococcus;s__Ruminococcus sp. AT12,Microbe
g__Acidaminococcus;s__Acidaminococcus intestini,Microbe
g__Clostridium;s__Clostridium perfringens,Microbe
g__Clostridium;s__Clostridium sp. CAG:411,Microbe
g__Desulfovibrio;s__Desulfovibrio sp. 6_1_46AFAA,Microbe
g__Parabacteroides;s__Parabacteroides sp. 20_3,Microbe
g__Prevotella;s__Prevotella sp. kh1p2,Microbe
g__Clostridium;s__Clostridium sp. ASF502,Microbe
g__Clostridium;s__Clostridium sp. CAG:492,Microbe
g__Blautia;s__Blautia sp. GD9,Microbe
g__Collinsella;s__Collinsella sp. CAG:166,Microbe
g__Bacteroides;s__Bacteroides faecis,Microbe
g__Prevotella;s__Prevotella histicola,Microbe
g__Clostridium;s__Clostridium bolteae CAG:59,Microbe
g__Ruminococcus;s__Ruminococcus champanellensis,Microbe
g__Sutterella;s__Sutterella wadsworthensis CAG:135,Microbe
g__Eubacterium;s__Eubacterium sp. 14-2,Microbe
g__Lachnospira;s__Lachnospira multipara,Microbe
g__Ruminococcus;s__Ruminococcus sp. CAG:382,Microbe
g__Faecalitalea;s__Faecalitalea cylindroides,Microbe
g__Mycoplasma;s__Mycoplasma sp. CAG:956,Microbe
g__Bacteroides;s__Bacteroides thetaiotaomicron CAG:40,Microbe
